Frequency (Hz)	Level (dB)
951.171875	-46.942238
952.148438	-47.825771
953.125000	-47.964111
954.101562	-48.786549
955.078125	-48.354237
956.054688	-48.348972
957.031250	-48.824409
958.007812	-48.938160
958.984375	-49.851433
959.960938	-49.511673
960.937500	-49.386421
961.914062	-49.675884
962.890625	-50.314121
963.867188	-49.579147
964.843750	-49.119476
965.820312	-49.294468
966.796875	-49.993938
967.773438	-51.056435
968.750000	-51.880993
969.726562	-50.877811
970.703125	-50.175720
971.679688	-51.073208
972.656250	-50.723400
973.632812	-50.714611
974.609375	-50.572678
975.585938	-52.508572
976.562500	-52.561832
977.539062	-50.684135
978.515625	-51.643814
979.492188	-53.187630
980.468750	-53.451118
981.445312	-53.385246
982.421875	-53.250660
983.398438	-51.124435
984.375000	-51.946720
985.351562	-52.399342
986.328125	-52.443066
987.304688	-52.140343
988.281250	-52.658791
989.257812	-52.903851
990.234375	-52.353287
991.210938	-53.275593
992.187500	-54.647747
993.164062	-53.559715
994.140625	-52.711571
995.117188	-52.133869
996.093750	-53.834408
997.070312	-54.130779
998.046875	-54.253551
999.023438	-54.009315
1000.000000	-54.228642
1000.976562	-54.152954
1001.953125	-53.992191
1002.929688	-54.159737
1003.906250	-54.739517
1004.882812	-54.623623
1005.859375	-54.495544
1006.835938	-54.450951
1007.812500	-55.836662
1008.789062	-55.240013
1009.765625	-55.145279
1010.742188	-53.602753
1011.718750	-53.681931
1012.695312	-54.678680
1013.671875	-55.000732
1014.648438	-55.752335
1015.625000	-56.958286
1016.601562	-54.850372
1017.578125	-53.692703
1018.554688	-53.715073
1019.531250	-54.022537
1020.507812	-54.906395
1021.484375	-56.880413
1022.460938	-56.011196
1023.437500	-52.937225
1024.414062	-54.076103
1025.390625	-55.764275
1026.367188	-55.000610
1027.343750	-54.043678
1028.320312	-54.460346
1029.296875	-56.211025
1030.273438	-55.552727
1031.250000	-54.867847
1032.226562	-55.653893
1033.203125	-55.013611
1034.179688	-55.044910
1035.156250	-55.206184
1036.132812	-53.512417
1037.109375	-53.421082
1038.085938	-55.499527
1039.062500	-54.538071
1040.039062	-53.903645
1041.015625	-54.317650
1041.992188	-56.535267
1042.968750	-55.772640
1043.945312	-54.250046
1044.921875	-54.659573
1045.898438	-54.449539
1046.875000	-54.484375
1047.851562	-53.886955
1048.828125	-53.716537
1049.804688	-54.600910
1050.781250	-55.542244
1051.757812	-55.287708
1052.734375	-54.392151
1053.710938	-53.918240
1054.687500	-55.122456
1055.664062	-55.850468
1056.640625	-55.829102
1057.617188	-54.552368
1058.593750	-54.290520
1059.570312	-54.629948
1060.546875	-54.566349
1061.523438	-54.129387
1062.500000	-52.546890
1063.476562	-52.739365
1064.453125	-53.152985
1065.429688	-53.938152
1066.406250	-55.959152
1067.382812	-54.954338
1068.359375	-52.593853
1069.335938	-53.255001
1070.312500	-54.885422
1071.289062	-54.329071
1072.265625	-53.970169
1073.242188	-53.137150
1074.218750	-53.421185
1075.195312	-53.746292
1076.171875	-53.031403
1077.148438	-52.613182
1078.125000	-53.243389
1079.101562	-54.558071
1080.078125	-53.496628
1081.054688	-52.212769
1082.031250	-51.684517
1083.007812	-51.457649
1083.984375	-51.642036
1084.960938	-51.176670
1085.937500	-51.724903
1086.914062	-52.852631
1087.890625	-51.432800
1088.867188	-50.227024
1089.843750	-49.092827
1090.820312	-51.044102
1091.796875	-50.022293
1092.773438	-49.429230
1093.750000	-49.603985
1094.726562	-48.616997
1095.703125	-49.124485
1096.679688	-48.690136
1097.656250	-48.127579
1098.632812	-49.346310
1099.609375	-48.011181
1100.585938	-49.204750
1101.562500	-49.375813
1102.539062	-48.227135
1103.515625	-48.263264
1104.492188	-48.043533
1105.468750	-46.586525
1106.445312	-45.989231
1107.421875	-47.488483
1108.398438	-48.053089
1109.375000	-46.655285
1110.351562	-46.604515
1111.328125	-45.657063
1112.304688	-47.338688
1113.281250	-46.584229
1114.257812	-45.955666
1115.234375	-44.091003
1116.210938	-44.724369
1117.187500	-43.603081
1118.164062	-42.431175
1119.140625	-41.794193
1120.117188	-41.473087
1121.093750	-40.616394
1122.070312	-40.668385
1123.046875	-40.301121
1124.023438	-39.233658
1125.000000	-38.605236
1125.976562	-37.322487
1126.953125	-36.894573
1127.929688	-36.752312
1128.906250	-34.514339
1129.882812	-33.198425
1130.859375	-32.900238
1131.835938	-34.428883
1132.812500	-36.055996
1133.789062	-34.719067
1134.765625	-35.434849
1135.742188	-35.631512
1136.718750	-35.653328
1137.695312	-36.214123
1138.671875	-39.007843
1139.648438	-39.333092
1140.625000	-39.656242
1141.601562	-40.750435
1142.578125	-42.141674
1143.554688	-41.100201
1144.531250	-42.636585
1145.507812	-43.000362
1146.484375	-45.910603
1147.460938	-42.917294
1148.437500	-42.733624
1149.414062	-43.433964
1150.390625	-45.218163
1151.367188	-46.694416
1152.343750	-46.146683
1153.320312	-46.024662
1154.296875	-47.179905
1155.273438	-45.620224
1156.250000	-46.289471
1157.226562	-46.498695
1158.203125	-46.596516
1159.179688	-49.028767
1160.156250	-49.590065
1161.132812	-49.124630
1162.109375	-49.985226
1163.085938	-49.906601
1164.062500	-50.851089
1165.039062	-50.953129
1166.015625	-52.104427
1166.992188	-50.811520
1167.968750	-49.230919
1168.945312	-50.068867
1169.921875	-51.201042
1170.898438	-52.154018
1171.875000	-51.276451
1172.851562	-51.584427
1173.828125	-51.282917
1174.804688	-50.562115
1175.781250	-50.699547
1176.757812	-51.684460
1177.734375	-52.750023
1178.710938	-53.552479
1179.687500	-53.276463
1180.664062	-53.839001
1181.640625	-54.196964
1182.617188	-54.955795
1183.593750	-54.645374
1184.570312	-55.084568
1185.546875	-55.013531
1186.523438	-54.238316
