Frequency (Hz)	Level (dB)
813.476562	-52.899998
814.453125	-53.650352
815.429688	-53.862892
816.406250	-52.770088
817.382812	-53.346771
818.359375	-53.283764
819.335938	-51.310879
820.312500	-52.352341
821.289062	-53.358322
822.265625	-51.601292
823.242188	-51.892910
824.218750	-51.914421
825.195312	-54.004261
826.171875	-53.087696
827.148438	-53.440716
828.125000	-53.521053
829.101562	-53.412987
830.078125	-52.652668
831.054688	-52.030964
832.031250	-52.931469
833.007812	-53.216106
833.984375	-51.215553
834.960938	-51.565319
835.937500	-53.188736
836.914062	-53.499638
837.890625	-53.884731
838.867188	-54.525116
839.843750	-51.480801
840.820312	-50.530922
841.796875	-51.799133
842.773438	-51.739658
843.750000	-51.761124
844.726562	-51.371613
845.703125	-51.329601
846.679688	-51.604454
847.656250	-52.669022
848.632812	-50.664577
849.609375	-50.072273
850.585938	-51.522758
851.562500	-52.739059
852.539062	-52.094799
853.515625	-50.930992
854.492188	-52.191284
855.468750	-52.697918
856.445312	-50.197056
857.421875	-50.522381
858.398438	-50.956451
859.375000	-52.621304
860.351562	-52.484226
861.328125	-52.759747
862.304688	-53.966736
863.281250	-52.586594
864.257812	-51.196136
865.234375	-50.728096
866.210938	-49.733269
867.187500	-51.042755
868.164062	-50.270802
869.140625	-49.281513
870.117188	-49.532719
871.093750	-50.184559
872.070312	-50.978100
873.046875	-50.739422
874.023438	-50.855824
875.000000	-51.172443
875.976562	-49.912277
876.953125	-49.633778
877.929688	-49.401680
878.906250	-49.261265
879.882812	-48.577358
880.859375	-48.874950
881.835938	-49.775024
882.812500	-49.790199
883.789062	-48.032177
884.765625	-49.173866
885.742188	-49.952236
886.718750	-50.111572
887.695312	-49.870041
888.671875	-49.818485
889.648438	-49.142132
890.625000	-49.634083
891.601562	-49.335751
892.578125	-48.423958
893.554688	-49.968941
894.531250	-51.167831
895.507812	-49.489700
896.484375	-50.190292
897.460938	-48.226254
898.437500	-48.807991
899.414062	-48.216709
900.390625	-47.406475
901.367188	-48.527935
902.343750	-48.931892
903.320312	-47.791615
904.296875	-45.726307
905.273438	-46.344421
906.250000	-48.176266
907.226562	-47.088852
908.203125	-48.884266
909.179688	-47.568230
910.156250	-46.775547
911.132812	-46.497471
912.109375	-46.685505
913.085938	-46.559212
914.062500	-45.637875
915.039062	-44.568943
916.015625	-45.016762
916.992188	-45.162319
917.968750	-44.820061
918.945312	-45.476200
919.921875	-44.068405
920.898438	-44.032547
921.875000	-43.634312
922.851562	-42.845154
923.828125	-43.031971
924.804688	-43.341122
925.781250	-44.411224
926.757812	-42.933086
927.734375	-41.919682
928.710938	-41.974487
929.687500	-42.329964
930.664062	-40.849804
931.640625	-42.276043
932.617188	-42.467190
933.593750	-41.507267
934.570312	-42.395142
935.546875	-41.196545
936.523438	-41.608196
937.500000	-41.704487
938.476562	-43.408138
939.453125	-43.421097
940.429688	-43.013260
941.406250	-43.280972
942.382812	-42.777443
943.359375	-42.779545
944.335938	-44.236694
945.312500	-43.116760
946.289062	-41.524879
947.265625	-43.076286
948.242188	-43.505505
949.218750	-43.984863
950.195312	-43.802803
951.171875	-44.854401
952.148438	-45.500977
953.125000	-44.756355
954.101562	-44.200809
955.078125	-45.433331
956.054688	-46.038803
957.031250	-45.907448
958.007812	-46.495022
958.984375	-46.958794
959.960938	-46.655842
960.937500	-46.755260
961.914062	-48.633072
962.890625	-48.131622
963.867188	-47.554222
964.843750	-48.204998
965.820312	-48.456207
966.796875	-48.729641
967.773438	-48.842377
968.750000	-49.835590
969.726562	-50.080593
970.703125	-49.401951
971.679688	-48.588577
972.656250	-49.010445
973.632812	-49.630840
974.609375	-49.630737
975.585938	-49.859596
976.562500	-49.743076
977.539062	-49.209278
978.515625	-49.890526
979.492188	-51.410942
980.468750	-51.657570
981.445312	-53.072384
982.421875	-51.133110
983.398438	-50.494934
984.375000	-50.532810
985.351562	-52.269276
986.328125	-52.458721
987.304688	-51.857258
988.281250	-51.435486
989.257812	-52.110359
990.234375	-51.672165
991.210938	-52.009377
992.187500	-55.381252
993.164062	-53.751945
994.140625	-51.498337
995.117188	-51.464478
996.093750	-53.684780
997.070312	-54.617687
998.046875	-54.481594
999.023438	-53.205719
1000.000000	-54.432377
1000.976562	-54.391422
1001.953125	-54.223690
1002.929688	-53.790909
1003.906250	-55.037964
1004.882812	-54.133514
1005.859375	-53.720890
1006.835938	-53.871826
1007.812500	-54.602764
1008.789062	-55.004768
1009.765625	-55.344734
1010.742188	-54.238113
1011.718750	-54.131981
1012.695312	-55.632027
1013.671875	-55.253979
1014.648438	-55.395031
1015.625000	-56.508251
1016.601562	-55.084625
1017.578125	-54.310047
1018.554688	-54.472149
1019.531250	-54.854874
1020.507812	-55.161861
1021.484375	-57.760338
1022.460938	-57.019943
1023.437500	-54.407879
1024.414062	-55.527325
1025.390625	-55.942665
1026.367188	-56.010155
1027.343750	-54.635353
1028.320312	-55.552349
1029.296875	-57.186646
1030.273438	-56.167034
1031.250000	-56.446114
1032.226562	-56.587738
1033.203125	-56.319622
1034.179688	-55.956635
1035.156250	-56.723381
1036.132812	-55.200249
1037.109375	-55.109505
1038.085938	-56.086880
1039.062500	-55.550339
1040.039062	-56.291374
1041.015625	-55.775928
1041.992188	-58.412624
1042.968750	-57.091232
1043.945312	-56.812244
1044.921875	-57.458378
1045.898438	-56.308521
1046.875000	-56.643322
1047.851562	-56.112617
1048.828125	-55.806854
