Frequency (Hz)	Level (dB)
854.492188	-54.641888
855.468750	-53.429058
856.445312	-53.147968
857.421875	-52.119282
858.398438	-50.752937
859.375000	-52.477207
860.351562	-53.115726
861.328125	-54.536331
862.304688	-55.134869
863.281250	-54.980587
864.257812	-53.301731
865.234375	-53.323048
866.210938	-52.947060
867.187500	-53.195328
868.164062	-51.813866
869.140625	-52.845444
870.117188	-52.709034
871.093750	-52.615234
872.070312	-54.233452
873.046875	-53.918011
874.023438	-54.739834
875.000000	-54.746655
875.976562	-53.170818
876.953125	-53.874752
877.929688	-52.014751
878.906250	-53.394512
879.882812	-53.196121
880.859375	-52.732868
881.835938	-52.758713
882.812500	-52.467762
883.789062	-53.293598
884.765625	-54.674332
885.742188	-54.900921
886.718750	-53.585159
887.695312	-52.723164
888.671875	-54.356987
889.648438	-55.529396
890.625000	-54.268475
891.601562	-54.499569
892.578125	-54.718758
893.554688	-55.192471
894.531250	-56.849277
895.507812	-57.091049
896.484375	-55.828148
897.460938	-56.219734
898.437500	-55.760010
899.414062	-54.808819
900.390625	-54.141685
901.367188	-55.242222
902.343750	-56.382122
903.320312	-54.128750
904.296875	-53.217022
905.273438	-54.390213
906.250000	-56.362984
907.226562	-56.801132
908.203125	-57.099316
909.179688	-55.855949
910.156250	-56.305058
911.132812	-56.187462
912.109375	-56.309090
913.085938	-56.793175
914.062500	-56.218338
915.039062	-54.794937
916.015625	-54.996784
916.992188	-57.043854
917.968750	-58.085434
918.945312	-58.025280
919.921875	-56.427528
920.898438	-56.361153
921.875000	-56.567497
922.851562	-55.294216
923.828125	-55.301979
924.804688	-56.085186
925.781250	-57.205990
926.757812	-57.601376
927.734375	-56.940323
928.710938	-57.321079
929.687500	-57.499626
930.664062	-55.350288
931.640625	-56.439537
932.617188	-58.115559
933.593750	-56.635559
934.570312	-57.940250
935.546875	-57.469147
936.523438	-56.232803
937.500000	-56.740204
938.476562	-57.914680
939.453125	-58.153400
940.429688	-57.786686
941.406250	-58.770756
942.382812	-57.885677
943.359375	-57.877884
944.335938	-57.622879
945.312500	-58.061436
946.289062	-58.364769
947.265625	-57.618217
948.242188	-57.123268
949.218750	-56.942112
950.195312	-57.187405
951.171875	-57.185738
952.148438	-56.601120
953.125000	-57.918175
954.101562	-57.676071
955.078125	-57.733906
956.054688	-58.208324
957.031250	-57.938046
958.007812	-58.119808
958.984375	-57.409222
959.960938	-58.532021
960.937500	-59.144016
961.914062	-59.661373
962.890625	-59.512436
963.867188	-58.998028
964.843750	-57.614929
965.820312	-57.026012
966.796875	-58.690258
967.773438	-58.966595
968.750000	-59.629467
969.726562	-57.758293
970.703125	-57.695480
